,Title_SR,Genre,Tag,Title_Norm,Seasons,Episodes,Status,Duration,UserRating,Network,Title_Wiki,State
37,Aqua Teen Hunger Force,Cartoons,/Aqua_Teen_Hunger_Force,aquateenhungerforce,7,99,Concluded,15 min,3.25641,,,
38,Aqua Teen Hunger Force,Comedy,/Aqua_Teen_Hunger_Force,aquateenhungerforce,7,99,Concluded,15 min,3.25641,,,
39,Army Wives,Drama,/Army_Wives,armywives,7,118,Concluded,60 min,4.0026,Lifetime,,
40,As the World Turns,Drama,/As_the_World_Turns,astheworldturns,8,655,Concluded,None,3.55556,CBS,,
41,Atlantis,Drama,/atlantis,atlantis,2,25,Current,60 min,3.67017,Spike TVBSpike TVBSpike TVCSpike TV Spike TVASpike TVmSpike TVeSpike TVrSpike TViSpike TVcSpike TVaSpike TV,,
42,Auction Hunters,Reality,/auction_hunters,auctionhunters,5,106,Current,30 min,3.45139,,,
43,Awake,Drama,/Awake,awake,1,13,Concluded,60 min,3.62336,NBC,,
44,BAPs,Reality,/baps,baps,1,4,Concluded,60 min,1.25,Lifetime,,
45,Bachelor Pad,Reality,/Bachelor_Pad,bachelorpad,3,20,Concluded,60 min,2.68367,ABC,,
46,Back in the Game,Comedy,/back_in_the_game,backinthegame,1,13,Concluded,30 min,3.06649,ABC,,
47,Backpackers,Comedy,/backpackers,backpackers,1,3,Concluded,30 min,2.31538,The CW,,
48,Backstrom,Crime,/backstrom,backstrom,1,13,Concluded,60 min,3.61751,FOX,,
49,Bad Judge,Comedy,/bad_judge,badjudge,1,13,Concluded,30 min,3.40116,NBC,,
50,Bad Teacher,Comedy,/bad_teacher,badteacher,1,13,Concluded,30 min,3.01484,CBS,,
51,Batman: The Brave and the Bold,Action,/Batman_The_Brave_and_the_Bold,batmanthebraveandthebold,3,65,Concluded,30 min,3.33065,Cartoon Network,,
52,Batman: The Brave and the Bold,Cartoons,/Batman_The_Brave_and_the_Bold,batmanthebraveandthebold,3,65,Concluded,30 min,3.33065,Cartoon Network,,
53,Battle Creek,Crime,/battle_creek,battlecreek,1,13,Concluded,60 min,3.52495,CBS,,
54,Battle Creek,Drama,/battle_creek,battlecreek,1,13,Concluded,60 min,3.52495,CBS,,
55,Beavis and Butt-head,Cartoons,/beavis_and_butt_head,beavisandbutthead,8,216,Concluded,30 min,3.0042,MTV,,
56,Beavis and Butt-head,Comedy,/beavis_and_butt_head,beavisandbutthead,8,216,Concluded,30 min,3.0042,MTV,,
57,Being Human,Drama,/Being_Human,beinghuman,5,37,Concluded,60 min,3.9244,Syfy,Being Human',Massachusetts
58,Being Human,Drama,/Being_Human,beinghuman,5,37,Concluded,60 min,3.9244,BBC America,Being Human',Massachusetts
59,Being Human,Fantasy,/Being_Human,beinghuman,5,37,Concluded,60 min,3.9244,Syfy,Being Human',Massachusetts
60,Being Human,Fantasy,/Being_Human,beinghuman,5,37,Concluded,60 min,3.9244,BBC America,Being Human',Massachusetts
61,Believe,Drama,/believe,believe,1,13,Concluded,60 min,3.71396,NBC,,
62,Believe,Science-Fiction,/believe,believe,1,13,Concluded,60 min,3.71396,NBC,,
63,Ben and Kate,Comedy,/ben_and_kate,benandkate,1,16,Concluded,30 min,3.16463,FOX,,
64,Benched,Comedy,/benched,benched,1,12,Concluded,30 min,3.59217,syndicatedUsyndicatedSsyndicatedAsyndicated syndicatedNsyndicatedesyndicatedtsyndicatedwsyndicatedosyndicatedrsyndicatedksyndicated,,
65,Benched,Crime,/benched,benched,1,12,Concluded,30 min,3.59217,syndicatedUsyndicatedSsyndicatedAsyndicated syndicatedNsyndicatedesyndicatedtsyndicatedwsyndicatedosyndicatedrsyndicatedksyndicated,,
66,Bent,Comedy,/bent,bent,1,6,Concluded,30 min,3.35959,NBC,,
67,Best Friends Forever,Comedy,/best_friends_forever,bestfriendsforever,1,6,Concluded,30 min,3.09712,NBC,,
68,Betrayal,Drama,/betrayal,betrayal,1,13,Concluded,60 min,3.36308,ABC,,
69,Big Love,Drama,/Big_Love,biglove,5,53,Concluded,60 min,3.47552,HBO,,
70,Big Time Rush,Comedy,/Big_Time_Rush,bigtimerush,4,73,Concluded,30 min,3.66495,Nickelodeon,,
71,Black Box,Drama,/black_box,blackbox,1,13,Concluded,60 min,3.62176,ABC,,
72,Blue Mountain State,Comedy,/Blue_Mountain_State,bluemountainstate,3,39,Concluded,60 min,4.26377,Spike TV,,
73,Boardwalk Empire,Crime,/Boardwalk_Empire,boardwalkempire,5,56,Concluded,60 min,4.08416,HBO,Boardwalk Empire,New Jersey
74,Boardwalk Empire,Drama,/Boardwalk_Empire,boardwalkempire,5,56,Concluded,60 min,4.08416,HBO,Boardwalk Empire,New Jersey
75,Body of Proof,Action,/Body_of_Proof,bodyofproof,3,42,Concluded,60 min,3.88263,ABC,Body of Proof,Pennsylvania
76,Body of Proof,Crime,/Body_of_Proof,bodyofproof,3,42,Concluded,60 min,3.88263,ABC,Body of Proof,Pennsylvania
77,Body of Proof,Drama,/Body_of_Proof,bodyofproof,3,42,Concluded,60 min,3.88263,ABC,Body of Proof,Pennsylvania
78,Bomb Girls,Drama,/bomb_girls,bombgirls,2,18,Concluded,60 min,3.91,ReelzChannel,,
79,Bored to Death,Comedy,/Bored_to_Death,boredtodeath,3,24,Concluded,30 min,3.77731,HBO,,
80,Boss,Drama,/boss,boss,2,18,Concluded,60 min,3.57724,Starz,Boss,Illinois
81,Boston Med,Reality,/Boston_Med,bostonmed,1,8,Concluded,None,3.09722,ABC,,
82,Breaking Bad,Crime,/Breaking_Bad,breakingbad,5,62,Concluded,60 min,4.39863,AMC,Breaking Bad,New Mexico
83,Breaking Bad,Drama,/Breaking_Bad,breakingbad,5,62,Concluded,60 min,4.39863,AMC,Breaking Bad,New Mexico
84,Breaking In,Comedy,/breaking_in,breakingin,2,20,Concluded,30 min,3.56977,FOX,,
85,Breaking Pointe,Reality,/breaking_pointe,breakingpointe,2,15,Concluded,60 min,3.75153,The CW,,
86,Breakout Kings,Action,/breakout_kings,breakoutkings,2,23,Concluded,60 min,3.80633,A&E,,
87,Breakout Kings,Crime,/breakout_kings,breakoutkings,2,23,Concluded,60 min,3.80633,A&E,,
88,Breakout Kings,Drama,/breakout_kings,breakoutkings,2,23,Concluded,60 min,3.80633,A&E,,
89,Breakthrough with Tony Robbins,Reality,/Breakthrough_with_Tony_Robbins,breakthroughwithtonyrobbins,1,6,Concluded,60 min,5.0,NBC,,
90,Brickleberry,Cartoons,/brickleberry,brickleberry,3,36,Concluded,30 min,3.62587,CNNCCNNoCNNmCNNeCNNdCNNyCNN CNNCCNNeCNNnCNNtCNNrCNNaCNNlCNN,,
91,Brickleberry,Comedy,/brickleberry,brickleberry,3,36,Concluded,30 min,3.62587,CNNCCNNoCNNmCNNeCNNdCNNyCNN CNNCCNNeCNNnCNNtCNNrCNNaCNNlCNN,,
92,Bridezillas,Reality,/Bridezillas,bridezillas,10,188,Concluded,60 min,3.14706,WE tv,,
93,Brooklyn DA,Crime,/brooklyn_da,brooklynda,1,6,Concluded,60 min,4.125,CBS,,
94,Brooklyn DA,Reality,/brooklyn_da,brooklynda,1,6,Concluded,60 min,4.125,CBS,,
95,Brothers & Sisters,Drama,/Brothers_and_Sisters,brotherssisters,5,109,Concluded,60 min,3.92812,ABC,,
96,Buckwild,Reality,/buckwild,buckwild,1,14,Concluded,60 min,2.97436,MTV,,
97,Bunheads,Drama,/bunheads,bunheads,1,18,Concluded,60 min,3.82456,ABC Family,,
98,Buried Treasure,Reality,/buried_treasure,buriedtreasure,1,4,Concluded,60 min,3.75,FOX,,
99,Burn Notice,Action,/Burn_Notice,burnnotice,7,111,Concluded,60 min,4.054,USA Network,Burn Notice,Florida
100,Burn Notice,Comedy,/Burn_Notice,burnnotice,7,111,Concluded,60 min,4.054,USA Network,Burn Notice,Florida
101,Burn Notice,Crime,/Burn_Notice,burnnotice,7,111,Concluded,60 min,4.054,USA Network,Burn Notice,Florida
102,Burn Notice,Drama,/Burn_Notice,burnnotice,7,111,Concluded,60 min,4.054,USA Network,Burn Notice,Florida
103,CSI: Miami,Crime,/CSI_Miami,csimiami,10,232,Concluded,60 min,3.70468,CBS,CSI: Miami,Florida
104,CSI: Miami,Drama,/CSI_Miami,csimiami,10,232,Concluded,60 min,3.70468,CBS,CSI: Miami,Florida
105,CSI: NY,Crime,/CSI_NY,csiny,9,197,Concluded,60 min,3.83848,CBS,CSI: NY,New York
106,CSI: NY,Drama,/CSI_NY,csiny,9,197,Concluded,60 min,3.83848,CBS,CSI: NY,New York
107,Californication,Comedy,/Californication,californication,7,84,Concluded,30 min,4.02774,Showtime,,
108,Californication,Drama,/Californication,californication,7,84,Concluded,30 min,4.02774,Showtime,,
109,Call Me Fitz,Comedy,/call_me_fitz,callmefitz,4,48,Hiatus,30 min,3.64706,DirecTV,,
110,Camelot,Drama,/Camelot,camelot,1,10,Concluded,60 min,3.4504,Starz,,
111,Camelot,Fantasy,/Camelot,camelot,1,10,Concluded,60 min,3.4504,Starz,,
112,Camp,Comedy,/camp,camp,1,10,Concluded,60 min,3.38649,NBC,,
113,Camp,Drama,/camp,camp,1,10,Concluded,60 min,3.38649,NBC,,
114,Caprica,Crime,/Caprica,caprica,1,18,Concluded,60 min,3.59036,Syfy,,
115,Caprica,Science-Fiction,/Caprica,caprica,1,18,Concluded,60 min,3.59036,Syfy,,
116,Capture,Reality,/capture,capture,1,10,Concluded,60 min,3.21711,The CW,,
117,Chase,Action,/Chase,chase,1,18,Concluded,60 min,3.54724,NBC,Chase,California
118,Chase,Crime,/Chase,chase,1,18,Concluded,60 min,3.54724,NBC,Chase,California
119,Chase,Drama,/Chase,chase,1,18,Concluded,60 min,3.54724,NBC,Chase,California
120,Chozen,Cartoons,/chozen,chozen,1,10,Concluded,30 min,2.91497,FX,,
121,Chozen,Comedy,/chozen,chozen,1,10,Concluded,30 min,2.91497,FX,,
122,Chuck,Action,/Chuck,chuck,5,93,Concluded,60 min,4.3279,NBC,Chuck,California
123,Chuck,Comedy,/Chuck,chuck,5,93,Concluded,60 min,4.3279,NBC,Chuck,California
124,Chuck,Drama,/Chuck,chuck,5,93,Concluded,60 min,4.3279,NBC,Chuck,California
125,Combat Hospital,Drama,/combat_hospital,combathospital,1,13,Concluded,60 min,3.67568,ABC,,
126,Common Law,Crime,/common_law,commonlaw,1,12,Concluded,60 min,3.875,USA Network,,
127,Common Law,Drama,/common_law,commonlaw,1,12,Concluded,60 min,3.875,USA Network,,
128,Constantine,Drama,/constantine,constantine,1,13,Concluded,60 min,3.77822,NBC,,
129,Constantine,Fantasy,/constantine,constantine,1,13,Concluded,60 min,3.77822,NBC,,
130,Copper,Crime,/copper,copper,2,23,Concluded,60 min,3.47264,BBC America,,
131,Copper,Drama,/copper,copper,2,23,Concluded,60 min,3.47264,BBC America,,
132,Cougar Town,Comedy,/Cougar_Town,cougartown,6,101,Concluded,30 min,3.76432,TBS,,
133,Covert Affairs,Action,/Covert_Affairs,covertaffairs,5,75,Concluded,60 min,3.91832,USA Network,,
134,Covert Affairs,Crime,/Covert_Affairs,covertaffairs,5,75,Concluded,60 min,3.91832,USA Network,,
135,Covert Affairs,Drama,/Covert_Affairs,covertaffairs,5,75,Concluded,60 min,3.91832,USA Network,,
136,Criminal Minds: Suspect Behavior,Crime,/Criminal_Minds_Suspect_Behavior,criminalmindssuspectbehavior,1,13,Concluded,60 min,3.19378,CBS,,
137,Criminal Minds: Suspect Behavior,Drama,/Criminal_Minds_Suspect_Behavior,criminalmindssuspectbehavior,1,13,Concluded,60 min,3.19378,CBS,,
138,Crisis,Drama,/crisis,crisis,1,13,Concluded,60 min,3.55263,NBC,,
139,Cristela,Comedy,/cristela,cristela,1,22,Concluded,30 min,3.60093,syndicatedAsyndicatedBsyndicatedCsyndicated,,
140,Crossbones,Action,/crossbones,crossbones,1,9,Concluded,60 min,3.40519,NBC,,
141,Crossbones,Drama,/crossbones,crossbones,1,9,Concluded,60 min,3.40519,NBC,,
142,Cult,Drama,/cult,cult,1,13,Concluded,60 min,3.05342,The CW,,
143,Dads,Comedy,/dads,dads,1,19,Concluded,30 min,3.15234,FOX,,
144,Damages,Crime,/Damages,damages,5,60,Concluded,60 min,3.9186,DirecTV,,
145,Damages,Drama,/Damages,damages,5,60,Concluded,60 min,3.9186,DirecTV,,
146,Dark Blue,Drama,/Dark_Blue,darkblue,2,20,Concluded,60 min,3.24157,TNT,,
147,Dating in the Dark,Reality,/Dating_in_the_Dark,datinginthedark,2,12,Concluded,None,1.88235,ABC,,
148,Deception,Drama,/deception,deception,1,11,Concluded,60 min,3.27564,NBC,,
149,Degrassi: The Next Generation,Drama,/Degrassi_The_Next_Generation,degrassithenextgeneration,14,370,Current,30 min,3.94118,,,
150,Desperate Housewives,Comedy,/Desperate_Housewives,desperatehousewives,8,180,Concluded,60 min,4.07808,ABC,,
151,Desperate Housewives,Drama,/Desperate_Housewives,desperatehousewives,8,180,Concluded,60 min,4.07808,ABC,,
152,Detroit 1-8-7,Action,/Detroit_1-8-7,detroit187,1,18,Concluded,60 min,3.30714,ABC,Detroit 1-8-7,Michigan
153,Detroit 1-8-7,Crime,/Detroit_1-8-7,detroit187,1,18,Concluded,60 min,3.30714,ABC,Detroit 1-8-7,Michigan
154,Detroit 1-8-7,Drama,/Detroit_1-8-7,detroit187,1,18,Concluded,60 min,3.30714,ABC,Detroit 1-8-7,Michigan
155,Dexter,Crime,/Dexter,dexter,8,96,Concluded,60 min,4.20152,Showtime,Dexter,Florida
156,Dexter,Drama,/Dexter,dexter,8,96,Concluded,60 min,4.20152,Showtime,Dexter,Florida
157,Dirty Jobs,Reality,/Dirty_Jobs,dirtyjobs,8,168,Concluded,60 min,3.8,Discovery,,
158,Do No Harm,Drama,/do_no_harm,donoharm,1,13,Concluded,60 min,3.40206,NBC,,
159,Does Someone Have to Go?,Reality,/does_someone_have_to_go,doessomeonehavetogo,1,6,Concluded,60 min,4.125,FOX,,
160,Dog Whisperer,Reality,/Dog_Whisperer,dogwhisperer,10,237,Hiatus,60 min,3.9186,A&E,,
161,Dog the Bounty Hunter,Reality,/Dog_the_Bounty_Hunter,dogthebountyhunter,8,215,Concluded,30 min,3.34783,Nat Geo Wild,Dog the Bounty Hunter,Hawaii
162,Dogs in the City,Reality,/dogs_in_the_city,dogsinthecity,1,6,Concluded,60 min,2.92857,CBS,,
163,Dracula,Drama,/dracula,dracula,1,10,Concluded,60 min,3.53624,NBC,,
164,Dracula,Fantasy,/dracula,dracula,1,10,Concluded,60 min,3.53624,NBC,,
165,Drop Dead Diva,Comedy,/Drop_Dead_Diva,dropdeaddiva,6,78,Concluded,60 min,3.88039,Lifetime,Drop Dead Diva,California
166,Drop Dead Diva,Drama,/Drop_Dead_Diva,dropdeaddiva,6,78,Concluded,60 min,3.88039,Lifetime,Drop Dead Diva,California
167,Duets,Reality,/duets,duets,1,9,Concluded,60 min,2.31667,ABC,,
168,Eastbound & Down,Comedy,/Eastbound_and_Down,eastbounddown,4,29,Concluded,60 min,3.86957,HBO,,
169,Emerald City,Drama,/emerald_city,emeraldcity,0,0,Not Ordered,60 min,2.75,NBC,,
170,Emerald City,Fantasy,/emerald_city,emeraldcity,0,0,Not Ordered,60 min,2.75,NBC,,
171,Enlightened,Comedy,/Enlightened,enlightened,2,18,Concluded,30 min,3.29444,HBO,,
172,Enlisted,Comedy,/enlisted,enlisted,1,13,Concluded,30 min,3.68027,FOX,,
173,Entourage,Comedy,/Entourage,entourage,8,96,Concluded,60 min,4.1914,HBO,Entourage,California
174,Entourage,Drama,/Entourage,entourage,8,96,Concluded,60 min,4.1914,HBO,Entourage,California
175,Escape Routes,Reality,/escape_routes,escaperoutes,1,6,Concluded,60 min,0.0,NBC,,
176,Eureka,Comedy,/Eureka,eureka,5,85,Concluded,60 min,4.27444,Syfy,,
177,Eureka,Drama,/Eureka,eureka,5,85,Concluded,60 min,4.27444,Syfy,,
178,Eureka,Science-Fiction,/Eureka,eureka,5,85,Concluded,60 min,4.27444,Syfy,,
179,Every Witch Way,Comedy,/every_witch_way,everywitchway,4,82,Current,30 min,4.0,,,
180,Every Witch Way,Fantasy,/every_witch_way,everywitchway,4,82,Current,30 min,4.0,,,
181,Expedition Impossible,Reality,/expedition_impossible,expeditionimpossible,1,10,Concluded,60 min,3.2963,ABC,,
182,Extreme Makeover: Home Edition,Reality,/Extreme_Makeover_Home_Edition,extrememakeoverhomeedition,10,238,Concluded,60 min,3.69565,ABC,,
183,Eye Candy,Crime,/eye_candy,eyecandy,1,10,Concluded,60 min,3.85583,Fox,,
184,Eye Candy,Drama,/eye_candy,eyecandy,1,10,Concluded,60 min,3.85583,Fox,,
185,Fairly Legal,Drama,/fairly_legal,fairlylegal,2,23,Concluded,60 min,3.88342,USA Network,,
186,Family Tools,Comedy,/family_tools,familytools,1,10,Concluded,30 min,2.46835,ABC,,
187,Family Tree,Comedy,/family_tree,familytree,1,8,Concluded,30 min,3.05288,HBO,,
188,Famous in 12,Reality,/famous_in_12,famousin12,1,5,Concluded,60 min,2.14286,The CW,,
189,Fashion Star,Reality,/fashion_star,fashionstar,2,20,Concluded,60 min,2.94444,NBC,,
190,Fear Factor,Reality,/Fear_Factor,fearfactor,6,148,Concluded,None,2.5,NBC,,
191,Final Witness,Crime,/final_witness,finalwitness,1,7,Concluded,60 min,3.19231,ABC,,
192,Final Witness,Drama,/final_witness,finalwitness,1,7,Concluded,60 min,3.19231,ABC,,
193,Fish Hooks,Cartoons,/fish_hooks,fishhooks,2,75,Concluded,30 min,2.0,N/A,,
194,Flashpoint,Action,/Flashpoint,flashpoint,5,75,Concluded,60 min,4.16289,ION,,
195,Flashpoint,Crime,/Flashpoint,flashpoint,5,75,Concluded,60 min,4.16289,ION,,
196,Flashpoint,Drama,/Flashpoint,flashpoint,5,75,Concluded,60 min,4.16289,ION,,
197,Forever,Crime,/forever,forever,1,22,Concluded,60 min,4.143,ABC,,
198,Forever,Drama,/forever,forever,1,22,Concluded,60 min,4.143,ABC,,
199,Franklin & Bash,Comedy,/Franklin_and_Bash,franklinbash,4,40,Concluded,60 min,3.97253,TNT,,
200,Franklin & Bash,Crime,/Franklin_and_Bash,franklinbash,4,40,Concluded,60 min,3.97253,TNT,,
201,Franklin & Bash,Drama,/Franklin_and_Bash,franklinbash,4,40,Concluded,60 min,3.97253,TNT,,
202,Freakshow,Reality,/freakshow,freakshow,2,24,Concluded,30 min,3.64706,AMC,,
203,Free Agents,Comedy,/Free_Agents,freeagents,1,6,Concluded,None,3.25,NBC,,
204,Friday Night Lights,Drama,/Friday_Night_Lights,fridaynightlights,5,76,Concluded,60 min,4.34016,"DirecTV’s Channel 101, NBC",Friday Night Lights,Texas
205,Friend Me,Comedy,/friend_me,friendme,0,0,Not Ordered,None,4.25,CBS,,
206,Fringe,Crime,/Fringe,fringe,5,100,Concluded,60 min,4.35703,FOX,Fringe,Massachusetts
207,Fringe,Drama,/Fringe,fringe,5,100,Concluded,60 min,4.35703,FOX,Fringe,Massachusetts
208,Fringe,Science-Fiction,/Fringe,fringe,5,100,Concluded,60 min,4.35703,FOX,Fringe,Massachusetts
209,Futurama,Cartoons,/Futurama,futurama,7,128,Concluded,30 min,4.36301,Comedy Central,,
210,Futurama,Comedy,/Futurama,futurama,7,128,Concluded,30 min,4.36301,Comedy Central,,
211,Futurama,Science-Fiction,/Futurama,futurama,7,128,Concluded,30 min,4.36301,Comedy Central,,
212,GCB,Drama,/gcb,gcb,1,10,Concluded,60 min,3.56228,ABC,,
213,Game of Arms,Reality,/game_of_arms,gameofarms,1,10,Concluded,60 min,3.45,AMC,,
214,Gang Related,Crime,/gang_related,gangrelated,1,13,Concluded,60 min,3.794,FOX,,
215,Gang Related,Drama,/gang_related,gangrelated,1,13,Concluded,60 min,3.794,FOX,,
216,Gene Simmons Family Jewels,Reality,/Gene_Simmons_Family_Jewels,genesimmonsfamilyjewels,7,139,Concluded,45 min,3.75,A&E,,
217,Get Out Alive with Bear Grylls,Action,/get_out_alive_with_bear_grylls,getoutalivewithbeargrylls,1,8,Hiatus,60 min,3.53846,NBC,,
218,Get Out Alive with Bear Grylls,Reality,/get_out_alive_with_bear_grylls,getoutalivewithbeargrylls,1,8,Hiatus,60 min,3.53846,NBC,,
219,Glee,Comedy,/Glee,glee,6,121,Concluded,60 min,3.48331,FOX,Glee,Ohio
220,Glee,Drama,/Glee,glee,6,121,Concluded,60 min,3.48331,FOX,Glee,Ohio
221,Glory Daze,Comedy,/Glory_Daze,glorydaze,1,10,Concluded,60 min,3.63265,TBS,,
222,Go On,Comedy,/go_on,goon,1,22,Concluded,60 min,3.66051,NBC,,
223,Golden Boy,Drama,/golden_boy,goldenboy,1,13,Concluded,60 min,3.64329,CBS,,
224,Good Vibes,Cartoons,/good_vibes,goodvibes,1,13,Concluded,30 min,3.25,MTV,,
225,Good Vibes,Comedy,/good_vibes,goodvibes,1,13,Concluded,30 min,3.25,MTV,,
226,Gossip Girl,Drama,/Gossip_Girl,gossipgirl,6,122,Concluded,60 min,4.0881,The CW,Gossip Girl,New York
227,Gracepoint,Crime,/gracepoint,gracepoint,1,10,Concluded,60 min,3.36917,FOX,,
228,Gracepoint,Drama,/gracepoint,gracepoint,1,10,Concluded,60 min,3.36917,FOX,,
229,Gravity,Comedy,/Gravity,gravity,1,10,Concluded,None,2.78723,Starz,,
230,Gravity,Drama,/Gravity,gravity,1,10,Concluded,None,2.78723,Starz,,
231,Greek,Comedy,/Greek,greek,4,74,Concluded,60 min,4.03949,ABC Family,,
232,Greek,Drama,/Greek,greek,4,74,Concluded,60 min,4.03949,ABC Family,,
233,Green Lantern: The Animated Series,Action,/green_lantern_the_animated_series,greenlanterntheanimatedseries,1,26,Concluded,30 min,3.86154,Cartoon Network,,
234,Green Lantern: The Animated Series,Cartoons,/green_lantern_the_animated_series,greenlanterntheanimatedseries,1,26,Concluded,30 min,3.86154,Cartoon Network,,
235,Ground Floor,Comedy,/ground_floor,groundfloor,2,20,Concluded,30 min,3.85904,TBS,Ground Floor,California
236,Growing Up Fisher,Comedy,/growing_up_fisher,growingupfisher,1,13,Concluded,30 min,3.49245,NBC,,
237,Guys with Kids,Comedy,/guys_with_kids,guyswithkids,1,17,Concluded,30 min,3.44954,NBC,,
238,H8R,Reality,/h8r,h8r,1,4,Concluded,60 min,1.88,The CW,,
239,Hannibal,Crime,/hannibal,hannibal,3,37,Current,60 min,4.27887,NBC,Hannibal,Maryland
240,Hannibal,Drama,/hannibal,hannibal,3,37,Current,60 min,4.27887,NBC,Hannibal,Maryland
241,Happily Divorced,Comedy,/happily_divorced,happilydivorced,2,34,Concluded,30 min,3.18,TV Land,,
242,Happy Endings,Comedy,/Happy_Endings,happyendings,3,57,Concluded,30 min,3.93105,ABC,Happy Endings,Illinois
243,Happyland,Comedy,/happyland,happyland,1,8,Concluded,30 min,3.52506,MTV,,
244,Hart of Dixie,Drama,/hart_of_dixie,hartofdixie,4,76,Concluded,60 min,4.10933,The CW,Hart of Dixie,Alabama
245,HawthoRNe,Drama,/HawthoRNe,hawthorne,3,30,Concluded,60 min,3.37681,TNT,,
246,Helix,Drama,/helix,helix,2,26,Concluded,60 min,3.66478,Syfy,,
247,Helix,Science-Fiction,/helix,helix,2,26,Concluded,60 min,3.66478,Syfy,,
248,Hellcats,Comedy,/Hellcats,hellcats,1,22,Concluded,60 min,3.50772,The CW,,
249,Hellcats,Drama,/Hellcats,hellcats,1,22,Concluded,60 min,3.50772,The CW,,
250,Hello Ladies,Comedy,/hello_ladies,helloladies,1,9,Concluded,30 min,3.27273,HBO,,
251,Hemlock Grove,Drama,/hemlock_grove,hemlockgrove,2,24,Hiatus,60 min,3.69437,Netflix,,
252,Hemlock Grove,Fantasy,/hemlock_grove,hemlockgrove,2,24,Hiatus,60 min,3.69437,Netflix,,
253,Here Comes Honey Boo Boo,Reality,/here_comes_honey_boo_boo,herecomeshoneybooboo,4,55,Concluded,30 min,3.04225,N/A,,
